Company,Title,Track,Location,Region,Tier,Salary,Flags,Posted_Age,WorkModel,Source,URL
Google,"Software Engineer, PhD, Early Career, Embedded Systems and Firmware, 2026 Start",Firmware / Embedded,"Atlanta, GA",US,Big Tech / Semi leader,,,May 01,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/6973f1b1bc8e722e7b18d78e
Intel,Linux Kernel Engineer,Firmware / Embedded,"Folsom, CA",US,Big Tech / Semi leader,,,Apr 13,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69dd4dd0738f2f099e8b579b
Intel,Memory Systems Firmware Development Engineer,Firmware / Embedded,"US, Oregon, Hillsboro",US,Big Tech / Semi leader,,,Apr 02,Hybrid,jobright:SW@hist,https://jobright.ai/jobs/info/69cef2db54f00230c6d04f11
Intel,Memory Systems Firmware Development Engineer,Firmware / Embedded,"US, California, Folsom",US,Big Tech / Semi leader,,,Apr 02,Hybrid,jobright:SW@hist,https://jobright.ai/jobs/info/69cef2d0366bb95ba551133c
KLA,Software Engineer ( Embedded Software/Firmware Development / Embedded Image Processing ),Firmware / Embedded,"Ann Arbor, MI, US",US,Big Tech / Semi leader,,,Jun 09,On Site,jobright:SW,https://jobright.ai/jobs/info/6a28ba591dbd8437bebcceae
MediaTek 聯發科,2026校招/研替/應屆預聘_軟韌體開發 (Camera/Smart Display/Multimedia/Audio/Video),Firmware / Embedded,台北,TW,Big Tech / Semi leader,,,entry:2026應屆/研替/預聘,,agent:TW-sweep,https://tw.linkedin.com/jobs/view/4293040636
MediaTek 聯發科,Wireless Communication System Firmware Engineer,Firmware / Embedded,新竹,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.mediatek.com/en/jobs/MTK120250425000
MediaTek 聯發科,4G LTE/5G NR Software/Embedded Firmware Development Engineer,Firmware / Embedded,新竹,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.mediatek.com/en/jobs/MTK120180312000
MediaTek 聯發科,(Automotive) Software/Firmware Engineer,Firmware / Embedded,台灣,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.mediatek.com/en/jobs/MTK120251201000
MediaTek 聯發科,(Automotive) MCU/MPU Embedded Software and Firmware Engineer_Chupei,Firmware / Embedded,竹北,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.mediatek.com/en/jobs/MTK120250529008
Microsoft,Firmware Engineer,Firmware / Embedded,"Redmond, WA",US,Big Tech / Semi leader,,,May 22,Hybrid,jobright:SW@hist,https://jobright.ai/jobs/info/6a05bcdca88ea73abf7f32fd
NVIDIA Taiwan,GPU Firmware Engineer (RDSS),Firmware / Embedded,Taipei,TW,Big Tech / Semi leader,,,entry:RDSS 研替 應屆,,agent:TW-sweep,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Taipei/GPU-Firmware-Engineer--RDSS-Intern-_JR2001138-1
NVIDIA Taiwan,GPU Firmware Engineer (RDSS) — security/MCU/Display FW,Firmware / Embedded,Taipei,TW,Big Tech / Semi leader,,,entry:RDSS 研替 應屆,,agent:TW-sweep,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Taipei/GPU-Firmware-Engineer--RDSS-Intern-_JR1975084-1
Qualcomm,Graphics Software Kernel Mode Engineer,Firmware / Embedded,"San Diego, CA",US,Big Tech / Semi leader,,,May 23,,vansh,https://careers.qualcomm.com/careers/job/446705709910
Qualcomm,Embedded DSP Software Engineer,Firmware / Embedded,"San Diego, CA",US,Big Tech / Semi leader,,,Mar 31,,vansh,https://careers.qualcomm.com/careers/job/446704474013
Qualcomm,GPU Kernel Development Engineer (Multiple Levels Available),Firmware / Embedded,"San Diego, CA",US,Big Tech / Semi leader,,,May 15,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69b3fc955697383741388bf8
Qualcomm,#Embedded Software Engineer,Firmware / Embedded,"San Diego, CA",US,Big Tech / Semi leader,,,May 29,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/6a0d9cc280bf0430c7624a1e
Qualcomm,Embedded DSP Software Engineer,Firmware / Embedded,"Markham, Ontario, Canada",US,Big Tech / Semi leader,,,May 27,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/6a0ce1b2a235d749afa916b3
Qualcomm,#Embedded Software Engineer – Products and Integration,Firmware / Embedded,"San Diego, CA",US,Big Tech / Semi leader,,,May 22,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69fde2ed4b9bbf21744ac780
Qualcomm,#Embedded Software Development Engineer,Firmware / Embedded,"San Diego, CA",US,Big Tech / Semi leader,,,May 06,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69a6f21b2672cb0acb4b576c
Qualcomm,"Embedded Real Time Operating System Software Engineer (QuRT OS, Zephyr)",Firmware / Embedded,"San Diego, CA",US,Big Tech / Semi leader,,,Apr 09,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69db1e97b67cec4f9b0ad523
Rivian and Volkswagen Group Technologies,Embedded Software Engineer - Infotainment,Firmware / Embedded,"Toronto, Ontario",US,Big Tech / Semi leader,,,Jun 02,Hybrid,jobright:SW@hist,https://jobright.ai/jobs/info/6a13ae209f654b3359cf6844
Seagate Technology,Firmware Engineer I,Firmware / Embedded,"Longmont, CO",US,Big Tech / Semi leader,,,Apr 21,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69dd6ae1738f2f099e8b6128
Seagate Technology,Firmware Engineer - Early Career,Firmware / Embedded,"Longmont, CO",US,Big Tech / Semi leader,,,Apr 02,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69c4dae96f4f855eeda78e19
Snap Inc.,"Embedded Software Engineer, Level 3",Firmware / Embedded,"San Diego, CA",US,Big Tech / Semi leader,,,May 25,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/698689bd0f6f7e7a2ce18b29
SpaceX,Wireless Firmware Engineer (Starlink Mobile),Firmware / Embedded,"Redmond, WA",US,Big Tech / Semi leader,,us-person-likely,Jun 06,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a0784a0403fc339507e59bd
SpaceX,Wireless Firmware Engineer (Starlink Mobile),Firmware / Embedded,"Sunnyvale, CA",US,Big Tech / Semi leader,,us-person-likely,Jun 06,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a07604f3b54ed42d74ccafa
SpaceX,Wireless Firmware Engineer (Direct To Cell),Firmware / Embedded,"Sunnyvale, CA",US,Big Tech / Semi leader,,us-person-likely,May 04,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/696aadea350cf4380311a53d
SpaceX,Wireless Firmware Engineer (Direct To Cell),Firmware / Embedded,"Redmond, WA",US,Big Tech / Semi leader,,us-person-likely,May 04,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/696aa261db26b618950dca6c
SpaceX,"Embedded Software Engineer, Satellite Antenna (Starlink)",Firmware / Embedded,"Redmond, WA",US,Big Tech / Semi leader,,us-person-likely,Jun 01,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/6a1aef4d547e292ae139b479
SpaceX,Embedded Software Engineer (Starlink),Firmware / Embedded,"Hawthorne, CA",US,Big Tech / Semi leader,,us-person-likely,May 15,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/6a06fa7f4a0a6a7e7d81d72b
Tesla,"Software Integration Engineer, Factory Firmware",Firmware / Embedded,"Fremont, CA",US,Big Tech / Semi leader,,,Aug 28,,vansh,https://www.tesla.com/careers/search/job/249467
Tesla,Kernel Software Engineer,Firmware / Embedded,"Palo Alto, CA",US,Big Tech / Semi leader,,,Aug 28,,vansh,https://www.tesla.com/careers/search/job/248966
Tesla,"Firmware Engineer, Silicon Development",Firmware / Embedded,"Palo Alto, CA",US,Big Tech / Semi leader,,,Jun 27,,vansh,https://www.tesla.com/careers/search/job/244793
Tesla,Firmware Validation Engineer & Flashing Engineer,Firmware / Embedded,"Palo Alto, CA",US,Big Tech / Semi leader,,,May 25,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a14fd9edc845f4be5bd3927
Tesla,"Embedded Firmware Engineer, Battery Management System",Firmware / Embedded,"Palo Alto, CA",US,Big Tech / Semi leader,,,May 26,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/6a165b6fa429fd279da98026
Western Digital,"New College Grad Engineer, Firmware Engineering",Firmware / Embedded,"Irvine, CA",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://jobs.smartrecruiters.com/WesternDigital/743999976965184-new-college-grad-engineer-firmware-engineering
🔥 Google,Software Engineer – Early Career - Embedded Systems and Firmware,Firmware / Embedded,"9 locationsSeattle, WA; LA; Raleigh, NC; Durham, NC; Kirkland, WA; NYC; Sunnyvale, CA; Mountain View, CA; Atlanta, GA",US,Big Tech / Semi leader,,,6mo,,simplify:HW,https://www.google.com/about/careers/applications/jobs/results/96957711316329158
ASMedia 祥碩,"韌體設計工程師 (embedded SoC, C, storage FW尤佳)",Firmware / Embedded,新北新店,TW,Semiconductor (TW/global),,,,,agent:TW-sweep,https://www.104.com.tw/jobs/search/?keyword=%E7%A5%A5%E7%A2%A9
Phison 群聯,韌體工程師08 — 經驗不拘,Firmware / Embedded,苗栗竹南,TW,Semiconductor (TW/global),,,entry:經驗不拘,,agent:TW-sweep,https://www.104.com.tw/job/6gzhi
Phison 群聯,韌體工程師0601-台北辦公室,Firmware / Embedded,台北,TW,Semiconductor (TW/global),,,,,agent:TW-sweep,https://www.104.com.tw/job/4ph36
Phison 群聯,PCIe Gen4/5 SSD 韌體工程師D2,Firmware / Embedded,苗栗竹南,TW,Semiconductor (TW/global),,,,,agent:TW-sweep,https://www.104.com.tw/job/6fy8l
Realtek 瑞昱,Monitor韌體工程師(內湖) — 經歷不拘,Firmware / Embedded,台北內湖,TW,Semiconductor (TW/global),,,entry:經歷不拘,,agent:TW-sweep,https://m.104.com.tw/job/26hkk
Realtek 瑞昱,Switch/Router/Gateway軟韌體設計工程師,Firmware / Embedded,新竹市,TW,Semiconductor (TW/global),,,,,agent:TW-sweep,https://m.104.com.tw/job/22ey7
Silicon Motion 慧榮,SSD韌體工程師-新店,Firmware / Embedded,新北新店,TW,Semiconductor (TW/global),,,,,agent:TW-sweep,https://www.104.com.tw/job/3wx8t
Sunplus 凌陽,系統韌體工程師(AP0390),Firmware / Embedded,新竹縣,TW,Semiconductor (TW/global),,,,,agent:TW-sweep,https://www.104.com.tw/job/71akj
10Beauty,Embedded Software Engineer,Firmware / Embedded,"Burlington, Massachusetts, United States",US,Other,,,Jun 04,On Site,jobright:SW,https://jobright.ai/jobs/info/6a18a463abc8f63abac7aff1
10Beauty,Embedded Software Engineer,Firmware / Embedded,"Burlington, MA",US,Other,,,Jun 04,On Site,jobright:SW,https://jobright.ai/jobs/info/6a18a462abc8f63abac7afee
Accenture Federal Services,Embedded Developer 0,Firmware / Embedded,"Annapolis Junction, MD",US,Other,,,Jun 04,On Site,jobright:SW,https://jobright.ai/jobs/info/6a18a46054a441713ae86e78
ACV Auctions,"Embedded Systems Engineer I, Research & Development",Firmware / Embedded,"Buffalo, NY, USA",US,Other,,,May 22,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a1076bd12f8b43cf398551a
Amaris Consulting,Test QA Embedded SW Engineer,Firmware / Embedded,"Markham, Ontario, Canada",US,Other,,,Jun 04,On Site,jobright:SW,https://jobright.ai/jobs/info/6a21bb2fca8f0b365d7a8428
AMETEK,Associate Embedded Engineer,Firmware / Embedded,"Mount Prospect, IL",US,Other,,,Apr 25,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69a05b5e5218a81676716d50
Aurora,Embedded Software Engineer I,Firmware / Embedded,"Mountain View, CA",US,Other,,,Apr 30,Hybrid,jobright:SW@hist,https://jobright.ai/jobs/info/69ec54b1dc35f7132c4b672b
AVDG - GC Pro/Custom House,Embedded Service Technician I (The Bay Area),Firmware / Embedded,"Fremont, CA",US,Other,,,May 19,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a0d234c22d0d34036c9bec2
Baxter International Inc.,Embedded Software Engineer,Firmware / Embedded,"Skaneateles Falls, NY",US,Other,,,May 22,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/6a10611783d7144289825cba
Baxter International Inc.,Embedded Software Engineer,Firmware / Embedded,"Skaneateles, NY, US",US,Other,,,May 21,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/6a0f162f72b52f7225f3ad83
BETA TECHNOLOGIES,Embedded Software Engineer / Ground Support Equipment,Firmware / Embedded,"South Burlington, VT",US,Other,,,Apr 03,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69d01f8f891d7b11cfcd8b28
Blissway Inc.,"Chile Based, Embedded Systems Engineer",Firmware / Embedded,"Denver, CO",US,Other,,,Apr 27,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/69efee8416b2612c2a12cd85
Blue Origin,Avionics Software – Early Career - Embedded - Engineer I,Firmware / Embedded,"LA; Kent, WA",US,Other,,us-person-likely,4mo,,simplify:HW,https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Greater-Seattle-Area/Avionics-Software--Embedded--Engineer-I---Early-Career--2026-Starts-_R58482
Blue Origin,Avionics / Embedded Software Engineer I - Early Career (2026 Starts),Firmware / Embedded,"Los Angeles, CA",US,Other,,us-person-likely,May 19,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/6a0a131d8f3e371eb618703b
Blue Origin,Avionics / Embedded Software Engineer I - Early Career (2026 Starts),Firmware / Embedded,Greater Seattle Area,US,Other,,us-person-likely,May 17,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69d5dc684a12eb12c5e13fa6
Bobcat Company,Embedded Software Engineer (Level DOE) Job Details / Doosan Corp,Firmware / Embedded,"Fargo, US, 58102",US,Other,,,Jun 09,On Site,jobright:SW,https://jobright.ai/jobs/info/6a28c44ffd37e62bb47ab025
Bobcat Company,Embedded Software Engineer (Level DOE),Firmware / Embedded,"Fargo, ND",US,Other,,,May 23,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/6a0c09a44d93203636875848
Boeing,Entry Level Embedded Software Engineer,Firmware / Embedded,"Fort Walton Beach, FL",US,Other,,us-person-likely,Apr 29,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69f1ee708d8d624381a9e884
Boeing,Entry-Level Missions Systems Software Engineers - Embedded,Firmware / Embedded,"USA - Berkeley, MO",US,Other,,us-person-likely,Apr 17,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69e34e353ce36005badc1749
Boeing,Associate Embedded Software Engineers,Firmware / Embedded,"St Charles, MO",US,Other,,us-person-likely,Apr 05,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69d260a10b098b7a67088a5a
Boeing,Associate Embedded Software Engineers,Firmware / Embedded,"USA - Saint Louis, MO",US,Other,,us-person-likely,Apr 02,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69cead6dcdb525785fb99f36
Boeing,Associate Embedded Software Engineers,Firmware / Embedded,"USA - Saint Charles, MO",US,Other,,us-person-likely,Apr 02,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69cead53891d7b11cfccb1cd
Boom Supersonic,"Software Engineer, Embedded",Firmware / Embedded,"Englewood, CO",US,Other,,,May 21,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69bb26fb3b74eb1e2c8995dc
Boom Supersonic,"Software Engineer, Embedded",Firmware / Embedded,"Centennial, CO",US,Other,,,Apr 12,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69db7853b67cec4f9b0af15f
Brain Corp,Software Engineer 1 - Firmware,Firmware / Embedded,"San Diego, CA",US,Other,,,1mo,,simplify:HW,https://braincorp.com/open-positions?gh_jid=8502582002
Brain Corp,"Software Engineer I, Firmware",Firmware / Embedded,"San Diego, CA",US,Other,,,Jun 05,On Site,jobright:SW,https://jobright.ai/jobs/info/69efff9b58811370cb14a16f
Brain Corp,"Software Engineer I, Firmware",Firmware / Embedded,"San Diego, California",US,Other,,,Jun 05,On Site,jobright:SW,https://jobright.ai/jobs/info/6a0727dc24dcb03739f22ee3
Brunswick Corporation,Embedded Software Engineer,Firmware / Embedded,"Oshkosh, WI, US",US,Other,,,Jun 05,Hybrid,jobright:SW,https://jobright.ai/jobs/info/6a25615c757ade085b6b19d1
