Company,Title,Track,Location,Region,Tier,Salary,Flags,Posted_Age,WorkModel,Source,URL,Link_Check
MediaTek 聯發科,數位驗證流程開發/類比RF行為模型 (Verilog) 工程師 — 經歷不拘 (大學以上),Design Verification,新竹,TW,Big Tech / Semi leader,,,entry:經歷不拘 (大學以上),,agent:TW-sweep,https://www.104.com.tw/company/12noppgo,UNCONFIRMED 2026-06-10 (no decisive hit)
TSMC 台積電,【2026 RDSS&AO】Research and Development Engineer (R&D),Hardware (general),新竹,TW,Big Tech / Semi leader,,,entry:研發替代役/預聘 應屆,,agent:TW-sweep,https://careers.tsmc.com/zh_TW/careers/JobDetail/2026-TSMC-RDSS-AO-Research-and-Development-Engineer-R-D/16565,UNCONFIRMED 2026-06-10 (no verdict returned)
NVIDIA Taiwan,DFX Software Engineer (RDSS),DFT / Silicon Test,Taipei,TW,Big Tech / Semi leader,,,entry:RDSS 研替 應屆,,agent:TW-sweep,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Taipei/DFX-Software-Engineer--RDSS-Intern-_JR1990344,UNCONFIRMED 2026-06-10 (no verdict returned)
